Ignore,Year,Month,Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,System Transaction Number,Amount
194604,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,GIBS LTD,1002189,"251,542.26"
194605,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Programme and Project Management Consultancy,DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1163726,"11,157.30"
194606,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Temporary Staff (Admin and Clerical Only),DG CHANGE & DELIVERY,HAYS SPECIALIST RECRUITMENT LTD,1163726,"14,368.62"
194607,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Programme and Project Management Consultancy,DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1163726,"12,870.00"
194608,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,IT/IS Consultancy,DG CENTRAL GROUP,HAYS SPECIALIST RECRUITMENT LTD,1163726,"8,064.00"
194609,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Corporate Strategy Consultancy,DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1163726,"3,679.62"
194610,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Corporate Strategy Consultancy,DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1163726,264.4
194611,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Corporate Strategy Consultancy,DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1163726,643.93
194612,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Corporate Strategy Consultancy,DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1163726,46.27
194613,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HAYS SPECIALIST RECRUITMENT LTD,1163726,"8,130.49"
194614,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1163727,"113,130.70"
194615,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1163727,16.82
194616,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1163727,"19,797.87"
194617,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1163727,2.94
194618,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Fco Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1163727,0.01
194619,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,THE CARBON TRUST,1163753,"34,500.00"
194620,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,P.A.Y.E Income Tax (Oracle PAY Control Account),NON CASH & UNALLOCATED COSTS,HM REVENUE & CUSTOMS,4006772,"4,000,783.16"
194621,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,National Insurance (NI) (Oracle PAY Control Account),NON CASH & UNALLOCATED COSTS,HM REVENUE & CUSTOMS,4006772,"2,326,586.95"
194622,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Aslc Contribution,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,4006773,"3,376,797.82"
194623,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Added Years and Wwpsc,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,4006773,"394,956.89"
194624,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Added Years and Wwpsc,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,4006773,"68,442.18"
194625,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,12-May-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,COLLIERS MEREDITH & GREW / TECHNOLOGY AGENCY ACCT,2000026560,"38,948.10"
194626,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,NATO,1001549,"4,920,263.14"
194627,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,GIBS LTD,1001551,"39,127.92"
194628,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Research Budget,UK TRADE AND INVESTMENT DIRECTORATE,ERNST & YOUNG LLP,1163794,"25,000.00"
194629,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Research Budget,UK TRADE AND INVESTMENT DIRECTORATE,ERNST & YOUNG LLP,1163794,"4,375.00"
194630,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Information Systems Maintenance,DG CENTRAL GROUP,MICROSOFT LIMITED,1163825,"385,500.00"
194631,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,MICROSOFT LIMITED,1163825,"67,462.50"
194632,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Training Course: Fees,DG CHANGE & DELIVERY,THE TAYLOR CLARKE PARTNERSHIP LTD,1163861,"25,685.00"
194633,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Training Course: Fees,DG CHANGE & DELIVERY,THE TAYLOR CLARKE PARTNERSHIP LTD,1163861,451.2
194634,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,Training Course: Fees,DG CHANGE & DELIVERY,THE TAYLOR CLARKE PARTNERSHIP LTD,1163861,240
194635,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,13-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,THE TAYLOR CLARKE PARTNERSHIP LTD,1163861,"4,615.84"
194636,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-May-10,Programme and Project Management Consultancy,DG FINANCE,CONCERTO CONSULTING LTD,1163883,"24,225.00"
194637,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-May-10,Overseas Duty Travel,DG FINANCE,CONCERTO CONSULTING LTD,1163883,"3,377.08"
194638,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CONCERTO CONSULTING LTD,1163883,"4,830.37"
194639,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-May-10,Consular Crisis Expenditure,DG CHANGE & DELIVERY,MM TELEPERFORMANCE GROUP LTD,1163910,"35,350.00"
194640,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-May-10,Consular Crisis Expenditure,DG CHANGE & DELIVERY,MM TELEPERFORMANCE GROUP LTD,1163910,"14,000.00"
194641,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-May-10,Consular Crisis Expenditure,DG CHANGE & DELIVERY,MM TELEPERFORMANCE GROUP LTD,1163910,"28,000.00"
194642,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-May-10,Consular Crisis Expenditure,DG CHANGE & DELIVERY,MM TELEPERFORMANCE GROUP LTD,1163910,355.71
194643,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-May-10,Consular Crisis Expenditure,DG CHANGE & DELIVERY,MM TELEPERFORMANCE GROUP LTD,1163910,"1,575.00"
194644,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-May-10,Consular Crisis Expenditure,DG CHANGE & DELIVERY,MM TELEPERFORMANCE GROUP LTD,1163910,"1,575.00"
194645,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-May-10,Consular Crisis Expenditure,DG CHANGE & DELIVERY,MM TELEPERFORMANCE GROUP LTD,1163910,"2,100.00"
194646,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-May-10,Consular Crisis Expenditure,DG CHANGE & DELIVERY,MM TELEPERFORMANCE GROUP LTD,1163910,"6,186.25"
194647,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-May-10,Consular Crisis Expenditure,DG CHANGE & DELIVERY,MM TELEPERFORMANCE GROUP LTD,1163910,"2,450.00"
194648,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-May-10,Consular Crisis Expenditure,DG CHANGE & DELIVERY,MM TELEPERFORMANCE GROUP LTD,1163910,"4,900.00"
194649,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-May-10,Consular Crisis Expenditure,DG CHANGE & DELIVERY,MM TELEPERFORMANCE GROUP LTD,1163910,62.25
194650,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-May-10,Consular Crisis Expenditure,DG CHANGE & DELIVERY,MM TELEPERFORMANCE GROUP LTD,1163910,275.63
194651,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-May-10,Consular Crisis Expenditure,DG CHANGE & DELIVERY,MM TELEPERFORMANCE GROUP LTD,1163910,275.63
194652,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,14-May-10,Consular Crisis Expenditure,DG CHANGE & DELIVERY,MM TELEPERFORMANCE GROUP LTD,1163910,367.5
194653,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,17-May-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,DTZ DEBENHAM TIE LEUNG,1163959,"74,463.09"
194654,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,17-May-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,DTZ DEBENHAM TIE LEUNG,1163959,"-74,463.09"
194655,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,17-May-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,DTZ DEBENHAM TIE LEUNG,1163959,"74,463.09"
194656,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,17-May-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,IPA ENERGY & WATER ECONOMICS LTD,1163981,"68,325.71"
194657,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,17-May-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,SOFTWARE BOX LTD,1164007,"95,000.00"
194658,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,17-May-10,Information Systems Maintenance,DG CENTRAL GROUP,SOFTWARE BOX LTD,1164007,"21,769.00"
194659,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,17-May-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,SOFTWARE BOX LTD,1164007,"16,625.00"
194660,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,17-May-10,Information Systems Maintenance,DG CENTRAL GROUP,SOFTWARE BOX LTD,1164007,"3,809.58"
194661,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,17-May-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,ECONOMIC & SOCIAL DEVELOPMENT FUND,29143174,"230,556.41"
194662,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,BRIGHT HORIZONS FAMILY SOLUTION LTD,1164037,"39,499.00"
194663,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1164042,"4,403.34"
194664,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1164042,660.5
194665,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1164042,"-4,403.34"
194666,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1164042,-660.5
194667,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1164042,"4,403.34"
194668,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1164042,770.58
194669,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1164042,"-4,403.34"
194670,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1164042,-770.58
194671,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1164042,"51,161.72"
194672,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1164042,"8,953.30"
194673,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1164042,"-51,161.72"
194674,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1164042,"-8,953.30"
194675,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1164042,"45,508.72"
194676,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1164042,"5,653.00"
194677,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1164042,"7,674.26"
194678,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1164042,"-45,508.72"
194679,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1164042,"-5,653.00"
194680,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1164042,"-7,674.26"
194681,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1164042,"45,508.72"
194682,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1164042,"5,653.00"
194683,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1164042,"8,953.31"
194684,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1164042,-0.01
194685,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,18-May-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,CONSERVATION INTERNATIONAL,6000035,"120,355.46"
194686,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,19-May-10,Payments On Behalf Of Ogd'S (To Be Recovered At Post),NON CASH & UNALLOCATED COSTS,BRITISH COUNCIL,1164202,"6,352,750.32"
194687,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,19-May-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,COB EMPLOYEE EXPENSES,3007244,"35,024.67"
194688,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,19-May-10,Programme Spend (Oracle Projects Control Account),DG DEFENCE AND INTELLIGENCE,BRITISH ANTARCTIC SURVEY (NERC),4006789,"500,000.00"
194689,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,20-May-10,Project Works>10K,DG CHANGE & DELIVERY,WESTBURY ESTATE SERVICES LIMITED,1164358,"42,982.00"
194690,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,20-May-10,Language Students' TandS,DG CHANGE & DELIVERY,FLAT AGENCY,100012799,"33,003.76"
194691,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1164380,"26,572.00"
194692,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LTD,1164380,"4,650.10"
194693,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,308
194694,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,336
194695,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,"1,204.00"
194696,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,496
194697,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,217
194698,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,155
194699,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,"23,744.00"
194700,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,-308
194701,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,-336
194702,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,"-1,204.00"
194703,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,-496
194704,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,-217
194705,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,-155
194706,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,"-23,744.00"
194707,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,308
194708,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,336
194709,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,"1,204.00"
194710,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,496
194711,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,217
194712,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,155
194713,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,"23,744.00"
194714,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,53.9
194715,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,58.8
194716,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,210.7
194717,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,86.8
194718,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,37.98
194719,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,27.13
194720,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,"4,155.20"
194721,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CHANGE & DELIVERY,HEWLETT-PACKARD LTD,1164400,-0.01
194722,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,JORDAN & BATEMAN ARCHITECTS,1164408,"29,223.49"
194723,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CENTRAL GROUP,MITEL NETWORKS LTD,1164419,"134,544.00"
194724,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Information Systems Maintenance,DG CENTRAL GROUP,MITEL NETWORKS LTD,1164419,"23,545.20"
194725,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Training Course: Fees,DG CHANGE & DELIVERY,RADA ENTERPRISES LIMITED,1164435,84
194726,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Training Course: Fees,DG CHANGE & DELIVERY,RADA ENTERPRISES LIMITED,1164435,276
194727,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Training Course: Fees,DG CHANGE & DELIVERY,RADA ENTERPRISES LIMITED,1164435,14
194728,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Training Course: Fees,DG CHANGE & DELIVERY,RADA ENTERPRISES LIMITED,1164435,"23,420.00"
194729,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Training Course: Fees,DG CHANGE & DELIVERY,RADA ENTERPRISES LIMITED,1164435,540
194730,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Training Course: Fees,DG CHANGE & DELIVERY,RADA ENTERPRISES LIMITED,1164435,"1,080.00"
194731,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,RADA ENTERPRISES LIMITED,1164435,"4,447.45"
194732,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Training Course: Fees,DG CHANGE & DELIVERY,THE TAYLOR CLARKE PARTNERSHIP LTD,1164450,"28,085.00"
194733,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Training Course: Fees,DG CHANGE & DELIVERY,THE TAYLOR CLARKE PARTNERSHIP LTD,1164450,423
194734,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Training Course: Fees,DG CHANGE & DELIVERY,THE TAYLOR CLARKE PARTNERSHIP LTD,1164450,240
194735,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Training Course: Fees,DG CHANGE & DELIVERY,THE TAYLOR CLARKE PARTNERSHIP LTD,1164450,"1,511.10"
194736,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,Training Course: Fees,DG CHANGE & DELIVERY,THE TAYLOR CLARKE PARTNERSHIP LTD,1164450,"7,200.00"
194737,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,21-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,THE TAYLOR CLARKE PARTNERSHIP LTD,1164450,"6,555.35"
194738,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,24-May-10,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,ACCOR SERVICES,1164458,"27,372.00"
194739,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,24-May-10,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,ACCOR SERVICES,1164458,"1,441.50"
194740,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,24-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ACCOR SERVICES,1164458,252.26
194741,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,24-May-10,Programme Spend (Oracle Projects Control Account),DG CENTRAL GROUP,BRITISH COUNCIL,1164463,"75,349.44"
194742,2010,May,Foreign & Commonwealth Office,Foreign & Commonwealth Office,24-May-10,Programme Spend (Oracle Projects Control Account),DG CENTRAL GROUP,BRITISH COUNCIL,1164463,"147,827.59"
